name,id,used
Pinkpantheress,78rUTD7y6Cy67W1RVzYs7t,false
Pitbull,0TnOYISbd1XYRBk9myaseg,false
Pixies,6zvul52xwTWzilBZl6BUbT,false
PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,false
Plaqueboymax,79NDEw5QWlDC9KaIbogNhS,false
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,false
The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,false
Polo G,6AgTAQt8XS6jRWi4sX7w49,false
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,false
Post Malone,246dkjvS1zLTtiykXe5h60,false
Primus,64mPnRMMeudAet0E62ypkx,false
Prince,5a2EaR3hamoenG9rDuVn8j,false
Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,false
Quavo,0VRj0yCOv2FXJNP47XQnx5,false
Queen,1dfeR4HaWDbWqFHLkxsg1d,false
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,false
R.E.M.,4KWTAlx2RvbpseOGMEmROg,false
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,false
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,false
The Ramones,1co4F2pPNH8JjTutZkmgSm,false
Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,false
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,false
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,false
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,false
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,false
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,false
Robert Palmer,530Sdm7eqqzWBdDmILMgnu,false
Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,false
Rod Wave,45TgXXqMDdF8BkjA83OM7z,false
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,false
Rosalia,7ltDVBr6mKbRvohxheJ9h1,false
The Roots,78xUyw6FkVZrRAtziFdtdu,false
Run-D.M.C.,2D5Wbsa1bfX2Vb3Ipecpa2,false
Rush,2Hkut4rAAyrQxRdof7FVJq,false
Russ,1z7b1Pr1rSlvWRzsW3HOrS,false
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,false
Sade,47zz7sob9NUcODy0BTDvKx,false
Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,false
Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,false
Sam Gellaitry,07UJz804RJxqNvxFXC3h9H,false
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,false
Sam Smith,2wY79sveU1sp5g7SokKOiI,false
